,index,Ano,País,Tipo,Total Linha
6091,1,1998,Argentina,pidrh,0.0
6090,0,1998,Alemanha,pidrh,0.0
2610,0,1998,Alemanha,pos-doc,13.0
3506,26,1998,Vaticano,articulador-pedagogico,0.0
3505,25,1998,Suíça,articulador-pedagogico,0.0
3504,24,1998,Suécia,articulador-pedagogico,0.0
3503,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,articulador-pedagogico,0.0
3502,22,1998,Portugal,articulador-pedagogico,0.0
3501,21,1998,Polónia,articulador-pedagogico,0.0
3500,20,1998,Países Baixos (Holanda),articulador-pedagogico,0.0
3499,19,1998,Nova Zelândia (Aotearoa),articulador-pedagogico,0.0
3498,18,1998,Noruega,articulador-pedagogico,0.0
3497,17,1998,México,articulador-pedagogico,0.0
3496,16,1998,Malásia,articulador-pedagogico,0.0
3495,15,1998,Japão,articulador-pedagogico,0.0
3494,14,1998,Itália,articulador-pedagogico,0.0
3493,13,1998,Israel,articulador-pedagogico,0.0
3492,12,1998,Irlanda,articulador-pedagogico,0.0
3491,11,1998,Grécia,articulador-pedagogico,0.0
3490,10,1998,França,articulador-pedagogico,0.0
3489,9,1998,Finlândia,articulador-pedagogico,0.0
3488,8,1998,Estados Unidos da América,articulador-pedagogico,0.0
3487,7,1998,Espanha,articulador-pedagogico,0.0
3486,6,1998,Dinamarca,articulador-pedagogico,0.0
3485,5,1998,Cuba,articulador-pedagogico,0.0
3484,4,1998,Canadá,articulador-pedagogico,0.0
3483,3,1998,Bélgica,articulador-pedagogico,0.0
3482,2,1998,Austrália,articulador-pedagogico,0.0
3507,27,1998,Venezuela,articulador-pedagogico,0.0
3481,1,1998,Argentina,articulador-pedagogico,0.0
3508,28,1998,Áustria,articulador-pedagogico,0.0
4377,27,1998,Venezuela,capacitacao-professor,0.0
4352,2,1998,Austrália,capacitacao-professor,0.0
4353,3,1998,Bélgica,capacitacao-professor,0.0
4354,4,1998,Canadá,capacitacao-professor,0.0
4355,5,1998,Cuba,capacitacao-professor,0.0
4356,6,1998,Dinamarca,capacitacao-professor,0.0
4357,7,1998,Espanha,capacitacao-professor,0.0
4358,8,1998,Estados Unidos da América,capacitacao-professor,0.0
4359,9,1998,Finlândia,capacitacao-professor,0.0
4360,10,1998,França,capacitacao-professor,0.0
4361,11,1998,Grécia,capacitacao-professor,0.0
4362,12,1998,Irlanda,capacitacao-professor,0.0
4363,13,1998,Israel,capacitacao-professor,0.0
4364,14,1998,Itália,capacitacao-professor,0.0
4365,15,1998,Japão,capacitacao-professor,0.0
4366,16,1998,Malásia,capacitacao-professor,0.0
4367,17,1998,México,capacitacao-professor,0.0
4368,18,1998,Noruega,capacitacao-professor,0.0
4369,19,1998,Nova Zelândia (Aotearoa),capacitacao-professor,0.0
4370,20,1998,Países Baixos (Holanda),capacitacao-professor,0.0
4371,21,1998,Polónia,capacitacao-professor,0.0
4372,22,1998,Portugal,capacitacao-professor,0.0
4373,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,capacitacao-professor,0.0
4374,24,1998,Suécia,capacitacao-professor,0.0
4375,25,1998,Suíça,capacitacao-professor,0.0
4376,26,1998,Vaticano,capacitacao-professor,0.0
4378,28,1998,Áustria,capacitacao-professor,0.0
3480,0,1998,Alemanha,articulador-pedagogico,0.0
5220,0,1998,Alemanha,catedra,0.0
5221,1,1998,Argentina,catedra,0.0
2635,25,1998,Suíça,pos-doc,0.0
2634,24,1998,Suécia,pos-doc,1.0
2633,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,pos-doc,28.0
2632,22,1998,Portugal,pos-doc,10.0
2631,21,1998,Polónia,pos-doc,0.0
2630,20,1998,Países Baixos (Holanda),pos-doc,5.0
2629,19,1998,Nova Zelândia (Aotearoa),pos-doc,0.0
2628,18,1998,Noruega,pos-doc,0.0
2627,17,1998,México,pos-doc,0.0
2626,16,1998,Malásia,pos-doc,0.0
2625,15,1998,Japão,pos-doc,0.0
2624,14,1998,Itália,pos-doc,15.0
2623,13,1998,Israel,pos-doc,0.0
2622,12,1998,Irlanda,pos-doc,0.0
2621,11,1998,Grécia,pos-doc,0.0
2620,10,1998,França,pos-doc,51.0
2619,9,1998,Finlândia,pos-doc,0.0
2618,8,1998,Estados Unidos da América,pos-doc,110.0
2617,7,1998,Espanha,pos-doc,13.0
2616,6,1998,Dinamarca,pos-doc,1.0
2615,5,1998,Cuba,pos-doc,0.0
2614,4,1998,Canadá,pos-doc,12.0
2613,3,1998,Bélgica,pos-doc,3.0
2612,2,1998,Austrália,pos-doc,3.0
2611,1,1998,Argentina,pos-doc,0.0
2636,26,1998,Vaticano,pos-doc,0.0
2637,27,1998,Venezuela,pos-doc,1.0
2638,28,1998,Áustria,pos-doc,0.0
5248,28,1998,Áustria,catedra,0.0
5222,2,1998,Austrália,catedra,0.0
5223,3,1998,Bélgica,catedra,0.0
5224,4,1998,Canadá,catedra,0.0
5225,5,1998,Cuba,catedra,0.0
5226,6,1998,Dinamarca,catedra,0.0
5227,7,1998,Espanha,catedra,0.0
5228,8,1998,Estados Unidos da América,catedra,0.0
5229,9,1998,Finlândia,catedra,0.0
5230,10,1998,França,catedra,0.0
5231,11,1998,Grécia,catedra,0.0
5232,12,1998,Irlanda,catedra,0.0
5233,13,1998,Israel,catedra,0.0
871,1,1998,Argentina,Doutorado,4.0
5234,14,1998,Itália,catedra,0.0
5236,16,1998,Malásia,catedra,0.0
5237,17,1998,México,catedra,0.0
5238,18,1998,Noruega,catedra,0.0
5239,19,1998,Nova Zelândia (Aotearoa),catedra,0.0
5240,20,1998,Países Baixos (Holanda),catedra,0.0
5241,21,1998,Polónia,catedra,0.0
5242,22,1998,Portugal,catedra,0.0
5243,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,catedra,0.0
5244,24,1998,Suécia,catedra,0.0
5245,25,1998,Suíça,catedra,0.0
5246,26,1998,Vaticano,catedra,0.0
5247,27,1998,Venezuela,catedra,0.0
5235,15,1998,Japão,catedra,0.0
870,0,1998,Alemanha,Doutorado,42.0
4350,0,1998,Alemanha,capacitacao-professor,0.0
17,17,1998,México,Graduacao,0.0
1,1,1998,Argentina,Graduacao,0.0
2,2,1998,Austrália,Graduacao,0.0
3,3,1998,Bélgica,Graduacao,0.0
4,4,1998,Canadá,Graduacao,0.0
5,5,1998,Cuba,Graduacao,0.0
6,6,1998,Dinamarca,Graduacao,0.0
7,7,1998,Espanha,Graduacao,0.0
8,8,1998,Estados Unidos da América,Graduacao,24.0
9,9,1998,Finlândia,Graduacao,0.0
28,28,1998,Áustria,Graduacao,0.0
10,10,1998,França,Graduacao,0.0
11,11,1998,Grécia,Graduacao,0.0
12,12,1998,Irlanda,Graduacao,0.0
14,14,1998,Itália,Graduacao,0.0
13,13,1998,Israel,Graduacao,0.0
23,23,1998,Reino Unido da Grã-Bretanha e Irlanda do Norte,Graduacao,0.0
16,16,1998,Malásia,Graduacao,0.0
18,18,1998,Noruega,Graduacao,0.0
19,19,1998,Nova Zelândia (Aotearoa),Graduacao,0.0
20,20,1998,Países Baixos (Holanda),Graduacao,0.0
21,21,1998,Polónia,Graduacao,0.0
22,22,1998,Portugal,Graduacao,0.0
15,15,1998,Japão,Graduacao,0.0
24,24,1998,Suécia,Graduacao,0.0
25,25,1998,Suíça,Graduacao,0.0
26,26,1998,Vaticano,Graduacao,0.0
27,27,1998,Venezuela,Graduacao,0.0
3532,52,1999,Suécia,articulador-pedagogico,0.0
3533,53,1999,Suíça,articulador-pedagogico,0.0
3531,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,articulador-pedagogico,0.0
3530,50,1999,Portugal,articulador-pedagogico,0.0
3534,54,1999,Vaticano,articulador-pedagogico,0.0
3535,55,1999,Áustria,articulador-pedagogico,0.0
6145,55,1999,Áustria,pidrh,0.0
2653,43,1999,Japão,pos-doc,0.0
2654,44,1999,Malásia,pos-doc,0.0
2655,45,1999,México,pos-doc,0.0
2656,46,1999,Noruega,pos-doc,0.0
2657,47,1999,Nova Zelândia (Aotearoa),pos-doc,0.0
2658,48,1999,Países Baixos (Holanda),pos-doc,3.0
2659,49,1999,Peru,pos-doc,1.0
2660,50,1999,Portugal,pos-doc,14.0
2661,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,pos-doc,25.0
2662,52,1999,Suécia,pos-doc,2.0
2663,53,1999,Suíça,pos-doc,0.0
2664,54,1999,Vaticano,pos-doc,0.0
2665,55,1999,Áustria,pos-doc,0.0
6129,39,1999,Finlândia,pidrh,0.0
6130,40,1999,França,pidrh,0.0
6131,41,1999,Irlanda,pidrh,0.0
6132,42,1999,Itália,pidrh,0.0
6133,43,1999,Japão,pidrh,0.0
6134,44,1999,Malásia,pidrh,0.0
6135,45,1999,México,pidrh,0.0
6136,46,1999,Noruega,pidrh,0.0
6137,47,1999,Nova Zelândia (Aotearoa),pidrh,0.0
6138,48,1999,Países Baixos (Holanda),pidrh,0.0
6139,49,1999,Peru,pidrh,0.0
6140,50,1999,Portugal,pidrh,0.0
6141,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,pidrh,0.0
6142,52,1999,Suécia,pidrh,0.0
6143,53,1999,Suíça,pidrh,0.0
6144,54,1999,Vaticano,pidrh,0.0
3529,49,1999,Peru,articulador-pedagogico,0.0
3528,48,1999,Países Baixos (Holanda),articulador-pedagogico,0.0
908,38,1999,Estados Unidos da América,Doutorado,513.0
3526,46,1999,Noruega,articulador-pedagogico,0.0
32,32,1999,Bélgica,Graduacao,0.0
33,33,1999,Canadá,Graduacao,0.0
34,34,1999,Chile,Graduacao,0.0
35,35,1999,Costa Rica,Graduacao,0.0
36,36,1999,Dinamarca,Graduacao,0.0
37,37,1999,Espanha,Graduacao,0.0
38,38,1999,Estados Unidos da América,Graduacao,67.0
31,31,1999,Austrália,Graduacao,0.0
39,39,1999,Finlândia,Graduacao,0.0
41,41,1999,Irlanda,Graduacao,0.0
42,42,1999,Itália,Graduacao,0.0
43,43,1999,Japão,Graduacao,0.0
44,44,1999,Malásia,Graduacao,0.0
45,45,1999,México,Graduacao,0.0
46,46,1999,Noruega,Graduacao,0.0
47,47,1999,Nova Zelândia (Aotearoa),Graduacao,0.0
40,40,1999,França,Graduacao,99.0
3527,47,1999,Nova Zelândia (Aotearoa),articulador-pedagogico,0.0
30,30,1999,Argentina,Graduacao,0.0
3509,29,1999,Alemanha,articulador-pedagogico,0.0
3524,44,1999,Malásia,articulador-pedagogico,0.0
2652,42,1999,Itália,pos-doc,12.0
3523,43,1999,Japão,articulador-pedagogico,0.0
3522,42,1999,Itália,articulador-pedagogico,0.0
3521,41,1999,Irlanda,articulador-pedagogico,0.0
3520,40,1999,França,articulador-pedagogico,0.0
3519,39,1999,Finlândia,articulador-pedagogico,0.0
29,29,1999,Alemanha,Graduacao,178.0
3518,38,1999,Estados Unidos da América,articulador-pedagogico,0.0
3516,36,1999,Dinamarca,articulador-pedagogico,0.0
3515,35,1999,Costa Rica,articulador-pedagogico,0.0
3514,34,1999,Chile,articulador-pedagogico,0.0
3513,33,1999,Canadá,articulador-pedagogico,0.0
3512,32,1999,Bélgica,articulador-pedagogico,0.0
3511,31,1999,Austrália,articulador-pedagogico,0.0
3510,30,1999,Argentina,articulador-pedagogico,0.0
3517,37,1999,Espanha,articulador-pedagogico,0.0
2651,41,1999,Irlanda,pos-doc,0.0
1770,30,1999,Argentina,mestrado,2.0
2649,39,1999,Finlândia,pos-doc,0.0
1789,49,1999,Peru,mestrado,0.0
1788,48,1999,Países Baixos (Holanda),mestrado,0.0
1787,47,1999,Nova Zelândia (Aotearoa),mestrado,0.0
1786,46,1999,Noruega,mestrado,0.0
1785,45,1999,México,mestrado,0.0
1784,44,1999,Malásia,mestrado,0.0
1783,43,1999,Japão,mestrado,0.0
1790,50,1999,Portugal,mestrado,0.0
1782,42,1999,Itália,mestrado,0.0
1780,40,1999,França,mestrado,0.0
1779,39,1999,Finlândia,mestrado,0.0
1778,38,1999,Estados Unidos da América,mestrado,8.0
1777,37,1999,Espanha,mestrado,0.0
1776,36,1999,Dinamarca,mestrado,0.0
1775,35,1999,Costa Rica,mestrado,0.0
1774,34,1999,Chile,mestrado,0.0
1781,41,1999,Irlanda,mestrado,0.0
899,29,1999,Alemanha,Doutorado,49.0
1791,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,mestrado,0.0
1793,53,1999,Suíça,mestrado,0.0
7015,55,1999,Áustria,prof_visitante,0.0
7014,54,1999,Vaticano,prof_visitante,0.0
7013,53,1999,Suíça,prof_visitante,0.0
7012,52,1999,Suécia,prof_visitante,0.0
7011,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,prof_visitante,0.0
7010,50,1999,Portugal,prof_visitante,0.0
7009,49,1999,Peru,prof_visitante,0.0
1792,52,1999,Suécia,mestrado,0.0
7008,48,1999,Países Baixos (Holanda),prof_visitante,0.0
7006,46,1999,Noruega,prof_visitante,0.0
7005,45,1999,México,prof_visitante,0.0
7004,44,1999,Malásia,prof_visitante,0.0
7003,43,1999,Japão,prof_visitante,0.0
7002,42,1999,Itália,prof_visitante,0.0
1795,55,1999,Áustria,mestrado,0.0
1794,54,1999,Vaticano,mestrado,0.0
7007,47,1999,Nova Zelândia (Aotearoa),prof_visitante,0.0
900,30,1999,Argentina,Doutorado,4.0
901,31,1999,Austrália,Doutorado,22.0
902,32,1999,Bélgica,Doutorado,12.0
925,55,1999,Áustria,Doutorado,3.0
1773,33,1999,Canadá,mestrado,0.0
1772,32,1999,Bélgica,mestrado,0.0
1771,31,1999,Austrália,mestrado,0.0
48,48,1999,Países Baixos (Holanda),Graduacao,0.0
1769,29,1999,Alemanha,mestrado,0.0
2639,29,1999,Alemanha,pos-doc,8.0
924,54,1999,Vaticano,Doutorado,1.0
2640,30,1999,Argentina,pos-doc,0.0
2642,32,1999,Bélgica,pos-doc,0.0
2643,33,1999,Canadá,pos-doc,12.0
2644,34,1999,Chile,pos-doc,1.0
2645,35,1999,Costa Rica,pos-doc,0.0
2646,36,1999,Dinamarca,pos-doc,1.0
2647,37,1999,Espanha,pos-doc,13.0
2648,38,1999,Estados Unidos da América,pos-doc,93.0
2641,31,1999,Austrália,pos-doc,5.0
923,53,1999,Suíça,Doutorado,11.0
922,52,1999,Suécia,Doutorado,3.0
921,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,Doutorado,283.0
903,33,1999,Canadá,Doutorado,93.0
904,34,1999,Chile,Doutorado,0.0
905,35,1999,Costa Rica,Doutorado,1.0
906,36,1999,Dinamarca,Doutorado,7.0
907,37,1999,Espanha,Doutorado,129.0
909,39,1999,Finlândia,Doutorado,1.0
910,40,1999,França,Doutorado,336.0
911,41,1999,Irlanda,Doutorado,2.0
912,42,1999,Itália,Doutorado,23.0
913,43,1999,Japão,Doutorado,2.0
914,44,1999,Malásia,Doutorado,1.0
915,45,1999,México,Doutorado,3.0
916,46,1999,Noruega,Doutorado,2.0
917,47,1999,Nova Zelândia (Aotearoa),Doutorado,4.0
918,48,1999,Países Baixos (Holanda),Doutorado,35.0
919,49,1999,Peru,Doutorado,0.0
920,50,1999,Portugal,Doutorado,47.0
2650,40,1999,França,pos-doc,66.0
49,49,1999,Peru,Graduacao,0.0
3525,45,1999,México,articulador-pedagogico,0.0
51,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,Graduacao,0.0
5269,49,1999,Peru,catedra,0.0
5270,50,1999,Portugal,catedra,0.0
5271,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,catedra,0.0
5272,52,1999,Suécia,catedra,0.0
5273,53,1999,Suíça,catedra,0.0
5266,46,1999,Noruega,catedra,0.0
5265,45,1999,México,catedra,0.0
5264,44,1999,Malásia,catedra,0.0
5263,43,1999,Japão,catedra,0.0
5262,42,1999,Itália,catedra,0.0
5261,41,1999,Irlanda,catedra,0.0
5268,48,1999,Países Baixos (Holanda),catedra,0.0
5260,40,1999,França,catedra,0.0
5258,38,1999,Estados Unidos da América,catedra,0.0
5257,37,1999,Espanha,catedra,0.0
5256,36,1999,Dinamarca,catedra,0.0
5255,35,1999,Costa Rica,catedra,0.0
5254,34,1999,Chile,catedra,0.0
5253,33,1999,Canadá,catedra,0.0
5252,32,1999,Bélgica,catedra,0.0
5251,31,1999,Austrália,catedra,0.0
5250,30,1999,Argentina,catedra,0.0
5249,29,1999,Alemanha,catedra,0.0
5274,54,1999,Vaticano,catedra,0.0
5259,39,1999,Finlândia,catedra,0.0
5275,55,1999,Áustria,catedra,0.0
5267,47,1999,Nova Zelândia (Aotearoa),catedra,0.0
4379,29,1999,Alemanha,capacitacao-professor,0.0
4399,49,1999,Peru,capacitacao-professor,0.0
4400,50,1999,Portugal,capacitacao-professor,0.0
4401,51,1999,Reino Unido da Grã-Bretanha e Irlanda do Norte,capacitacao-professor,0.0
4402,52,1999,Suécia,capacitacao-professor,0.0
4403,53,1999,Suíça,capacitacao-professor,0.0
4404,54,1999,Vaticano,capacitacao-professor,0.0
4405,55,1999,Áustria,capacitacao-professor,0.0
4396,46,1999,Noruega,capacitacao-professor,0.0
4395,45,1999,México,capacitacao-professor,0.0
4394,44,1999,Malásia,capacitacao-professor,0.0
4393,43,1999,Japão,capacitacao-professor,0.0
50,50,1999,Portugal,Graduacao,0.0
4392,42,1999,Itália,capacitacao-professor,0.0
4390,40,1999,França,capacitacao-professor,0.0
4389,39,1999,Finlândia,capacitacao-professor,0.0
4388,38,1999,Estados Unidos da América,capacitacao-professor,0.0
4387,37,1999,Espanha,capacitacao-professor,0.0
4386,36,1999,Dinamarca,capacitacao-professor,0.0
4385,35,1999,Costa Rica,capacitacao-professor,0.0
4384,34,1999,Chile,capacitacao-professor,0.0
4383,33,1999,Canadá,capacitacao-professor,0.0
4382,32,1999,Bélgica,capacitacao-professor,0.0
4381,31,1999,Austrália,capacitacao-professor,0.0
4380,30,1999,Argentina,capacitacao-professor,0.0
4391,41,1999,Irlanda,capacitacao-professor,0.0
4398,48,1999,Países Baixos (Holanda),capacitacao-professor,0.0
4397,47,1999,Nova Zelândia (Aotearoa),capacitacao-professor,0.0
6124,34,1999,Chile,pidrh,0.0
6119,29,1999,Alemanha,pidrh,0.0
6120,30,1999,Argentina,pidrh,0.0
6121,31,1999,Austrália,pidrh,0.0
6122,32,1999,Bélgica,pidrh,0.0
6123,33,1999,Canadá,pidrh,0.0
6125,35,1999,Costa Rica,pidrh,0.0
6126,36,1999,Dinamarca,pidrh,0.0
6127,37,1999,Espanha,pidrh,0.0
6128,38,1999,Estados Unidos da América,pidrh,0.0
6989,29,1999,Alemanha,prof_visitante,0.0
6990,30,1999,Argentina,prof_visitante,0.0
6992,32,1999,Bélgica,prof_visitante,0.0
6993,33,1999,Canadá,prof_visitante,0.0
6994,34,1999,Chile,prof_visitante,0.0
6991,31,1999,Austrália,prof_visitante,0.0
6996,36,1999,Dinamarca,prof_visitante,0.0
6997,37,1999,Espanha,prof_visitante,0.0
6998,38,1999,Estados Unidos da América,prof_visitante,0.0
6999,39,1999,Finlândia,prof_visitante,0.0
7000,40,1999,França,prof_visitante,0.0
7001,41,1999,Irlanda,prof_visitante,0.0
6995,35,1999,Costa Rica,prof_visitante,0.0
55,55,1999,Áustria,Graduacao,0.0
54,54,1999,Vaticano,Graduacao,0.0
53,53,1999,Suíça,Graduacao,0.0
52,52,1999,Suécia,Graduacao,0.0
1807,67,2000,França,mestrado,0.0
1806,66,2000,Finlândia,mestrado,0.0
1805,65,2000,Estados Unidos da América,mestrado,15.0
1804,64,2000,Espanha,mestrado,1.0
7041,81,2000,Áustria,prof_visitante,0.0
1802,62,2000,Costa Rica,mestrado,0.0
1800,60,2000,Canadá,mestrado,0.0
1801,61,2000,Chile,mestrado,0.0
1808,68,2000,Irlanda,mestrado,0.0
1803,63,2000,Dinamarca,mestrado,0.0
1809,69,2000,Itália,mestrado,0.0
7033,73,2000,Nova Zelândia (Aotearoa),prof_visitante,0.0
1811,71,2000,México,mestrado,0.0
1812,72,2000,Noruega,mestrado,0.0
1813,73,2000,Nova Zelândia (Aotearoa),mestrado,0.0
1814,74,2000,Países Baixos (Holanda),mestrado,0.0
1815,75,2000,Peru,mestrado,0.0
1816,76,2000,Portugal,mestrado,0.0
7040,80,2000,Uruguai,prof_visitante,0.0
1817,77,2000,Reino Unido da Grã-Bretanha e Irlanda do Norte,mestrado,1.0
1818,78,2000,Suécia,mestrado,0.0
1819,79,2000,Suíça,mestrado,0.0
1810,70,2000,Japão,mestrado,0.0
7034,74,2000,Países Baixos (Holanda),prof_visitante,0.0
7039,79,2000,Suíça,prof_visitante,0.0
7037,77,2000,Reino Unido da Grã-Bretanha e Irlanda do Norte,prof_visitante,0.0
5297,77,2000,Reino Unido da Grã-Bretanha e Irlanda do Norte,catedra,0.0
5298,78,2000,Suécia,catedra,0.0
5299,79,2000,Suíça,catedra,0.0
5300,80,2000,Uruguai,catedra,0.0
5301,81,2000,Áustria,catedra,0.0
7016,56,2000,Alemanha,prof_visitante,0.0
7017,57,2000,Argentina,prof_visitante,0.0
7018,58,2000,Austrália,prof_visitante,0.0
7019,59,2000,Bélgica,prof_visitante,0.0
7020,60,2000,Canadá,prof_visitante,0.0
7035,75,2000,Peru,prof_visitante,0.0
7021,61,2000,Chile,prof_visitante,0.0
7023,63,2000,Dinamarca,prof_visitante,0.0
7024,64,2000,Espanha,prof_visitante,0.0
7025,65,2000,Estados Unidos da América,prof_visitante,0.0
7026,66,2000,Finlândia,prof_visitante,0.0
7027,67,2000,França,prof_visitante,0.0
7028,68,2000,Irlanda,prof_visitante,0.0
7029,69,2000,Itália,prof_visitante,0.0
7030,70,2000,Japão,prof_visitante,0.0
7031,71,2000,México,prof_visitante,0.0
7032,72,2000,Noruega,prof_visitante,0.0
7022,62,2000,Costa Rica,prof_visitante,0.0
7038,78,2000,Suécia,prof_visitante,0.0
5295,75,2000,Peru,catedra,0.0
5293,73,2000,Nova Zelândia (Aotearoa),catedra,0.0
7036,76,2000,Portugal,prof_visitante,0.0
5276,56,2000,Alemanha,catedra,0.0
5277,57,2000,Argentina,catedra,0.0
5278,58,2000,Austrália,catedra,0.0
5279,59,2000,Bélgica,catedra,0.0
5280,60,2000,Canadá,catedra,0.0
5281,61,2000,Chile,catedra,0.0
